FROM,TO,TYPE,R,X,B,LIM1,LIM2,LIM3,TAP,TAPMIN,TAPMAX,STEP,TANG
1,2,0,0.10,0.20,0.020,0.7,0,0,0,0,0,0,0
1,4,0,0.05,0.20,0.020,0.9,0,0,0,0,0,0,0
1,5,0,0.08,0.30,0.030,0.7,0,0,0,0,0,0,0
2,3,0,0.05,0.25,0.030,0.2,0,0,0,0,0,0,0
2,4,0,0.05,0.10,0.010,0.5,0,0,0,0,0,0,0
2,5,0,0.10,0.30,0.020,0.4,0,0,0,0,0,0,0
2,6,0,0.07,0.20,0.025,0.6,0,0,0,0,0,0,0
3,5,0,0.12,0.26,0.025,0.3,0,0,0,0,0,0,0
3,6,0,0.02,0.10,0.010,0.7,0,0,0,0,0,0,0
4,5,0,0.20,0.40,0.040,0.3,0,0,0,0,0,0,0
5,6,0,0.10,0.30,0.030,0.2,0,0,0,0,0,0,0
